Full Reference,Reference,doi,url,dir,title,au1,journal,scopus_id,nrefs,type,maybe
"McNeill A, Robson D. A man before his time: Russell's insights into nicotine, smoking, treatment and curbing the smoking problem. Addiction. 2017: doi: 10.1111/add.14043.","McNeill, A and Robson, D (2017)",10.1111/add.14043,NA,NA,NA,NA,NA,NA,1,Journal article,0
"Kandel, D. and E. Kandel, The Gateway Hypothesis of substance abuse: developmental, biological and societal perspectives. Acta Paediatrica, 2014.","Kandel, DB and Kandel, ER (2014)",10.1111/apa.12851,NA,NA,"The Gateway Hypothesis of substance abuse: Developmental, biological and societal perspectives",Kandel D.,"Acta Paediatrica, International Journal of Paediatrics",SCOPUS_ID:84921607104,1,Journal article,0
"West R, Hajek P, Stead L, Stapleton J. Outcome criteria in smoking cessation trials: proposal for a common standard. Addiction. 2005;100(3):299-303.","West, R et al. (2005a)",10.1111/j.1360-0443.2004.00995.x,NA,NA,Outcome criteria in smoking cessation trials: Proposal for a common standard,West R.,Addiction,SCOPUS_ID:14944375305,1,Journal article,0
"Coleman T, Lewis S, Hubbard R, Smith C. Impact of contractual financial incentives on the ascertainment and management of smoking in primary care. Addiction 2007; 102:803–8.","Coleman, T et al. (2007)",10.1111/j.1360-0443.2007.01766.x,NA,NA,Impact of contractual financial incentives on the ascertainment and management of smoking in primary care,Coleman T.,Addiction,SCOPUS_ID:34247362010,1,Journal article,0
"Kotz D, Fidler J, West R. Factors associated with the use of aids to cessation in English smokers. Addiction 2009 Aug;104:1403–10.","Kotz, D et al. (2009)",10.1111/j.1360-0443.2009.02639.x,NA,NA,Factors associated with the use of aids to cessation in English smokers,Kotz D.,Addiction,SCOPUS_ID:67650427396,1,Journal article,0
"Etter JF, Bullen C. Electronic cigarette: users profile, utilization, satisfaction and perceived efficacy. Addiction 2011;106:2017–28.","Etter, JF and Bullen, CB (2011b)",10.1111/j.1360-0443.2011.03505.x,NA,NA,"Electronic cigarette: Users profile, utilization, satisfaction and perceived efficacy",Etter J.,Addiction,SCOPUS_ID:80052962669,1,Journal article,0
"Vangeli E, Stapleton J, Smit ES, Borland R, West R. Predictors of attempts to stop smoking and their success in adult general population samples: a systematic review. Addiction 2011;106:2110–21.","Vangeli, E et al. (2011)",10.1111/j.1360-0443.2011.03565.x,NA,NA,Predictors of attempts to stop smoking and their success in adult general population samples: A systematic review,Vangeli E.,Addiction,SCOPUS_ID:80455167932,1,Journal article,0
"Moretto  N, Volpi  G, Pastore  F,  Facchinetti  F.  Acrolein effects  in   pulmonary   cells:  relevance   to   chronic obstructive pulmonary disease. Annals of the New York Academy of Sciences 2012;1259:39–46.","Moretto, N et al. (2012)",10.1111/j.1749-6632.2012.06531.x,NA,NA,Acrolein effects in pulmonary cells: Relevance to chronic obstructive pulmonary disease,Moretto N.,Annals of the New York Academy of Sciences,SCOPUS_ID:84863506167,1,Journal article,0
"O’Callaghan FV, Al  Mamun  A,  O’Callaghan M, Alati R, Najman JM, Williams GM, Bor W. Maternal smoking during pregnancy predicts nicotine disorder (depen- dence or withdrawal) in young adults—a birth cohort study. Australian and New Zealand Journal of Public Health 2009;33(4):371–7.","O’Callaghan, FV et al. (2009)",10.1111/j.1753-6405.2009.00410.x,NA,NA,Maternal smoking during pregnancy predicts nicotine disorder (dependence or withdrawal) in young adults - A birth cohort study,O'Callaghan F.,Australian and New Zealand Journal of Public Health,SCOPUS_ID:69249193696,1,Journal article,0
"Song YM, Sung J, Cho HJ. Reduction and cessation of cigarette smoking and risk of cancer: a cohort study of Korean men. Journal of Clinical Oncology. 2008;26(31):5101-6.","Song, YM et al. (2008)",10.1200/JCO.2008.17.0498,NA,NA,Reduction and cessation of cigarette smoking and risk of cancer: A cohort study of Korean men,Song Y.,Journal of Clinical Oncology,SCOPUS_ID:55549091079,1,Journal article,0
"Carpenter CM, Wayne GF, Pauly JL, Koh HK, Connolly GN. New cigarette brands with flavors that appeal to youth: tobacco marketing strategies. Health Affairs 2005;24:1601–10","Carpenter, CM et al. (2005)",10.1377/hlthaff.24.6.1601,NA,NA,New cigarette brands with flavors that appeal to youth: Tobacco marketing strategies. Tobacco industry documents reveal a deliberate strategy to add flavors known to appeal to younger people,Carpenter C.,Health Affairs,SCOPUS_ID:28444494709,1,Journal article,0
"Kandel DB, Yamaguchi K, Chen K. Stages of progression in drug involvement from adolescence to adulthood: further  evidence for the gateway theory. Journal of Studies on Alcohol 1992;53(5):447–57.","Kandel, DB et al. (1992)",10.15288/jsa.1992.53.447,NA,NA,Stages of progression in drug involvement from adolescence to adulthood: Further evidence for the gateway theory,Kandel D.,Journal of Studies on Alcohol,SCOPUS_ID:0026688185,1,Journal article,0
"Schneider NG, Lunell E, Olmstead RE, Fagerström KO. Clinical pharmacokinetics of nasal nicotine delivery. A review and comparison to other nicotine systems. Clin Pharmacokinet 1996;31:65–80.","Schneider, NG et al. (1996)",10.2165/00003088-199631010-00005,NA,NA,Clinical pharmacokinetics of nasal nicotine delivery. A review and comparison to other nicotine systems,Schneider N.,Clinical Pharmacokinetics,SCOPUS_ID:0029949725,1,Journal article,0
"Pollay RW, Siddarth  S, Siegel M, Haddix A, Merritt RK, Giovino GA, Eriksen  MP. The  last  straw?  Cigarette advertising    and    realized   market    shares    among youths  and adults,  1979–1993. Journal of Marketing 1996;60(2):1–16.","Pollay, RW et al. (1996)",10.2307/1251927,NA,NA,"The last straw? Cigarette advertising and realized market shares among youths and adults, 1979-1993",Pollay R.,Journal of Marketing,SCOPUS_ID:0030544909,1,Journal article,0
"Heydari G, Ahmady AE, Chamyani F, Masjedi M, Fadaizadeh L. Electronic cigarette, effective or harmful for quitting smoking and respiratory health: A quantitative review papers. Lung India. 2017;34(1):25-8.","Heydari, G et al. (2017)",10.4103/0970-2113.197119,NA,NA,"Electronic cigarette, effective or harmful for quitting smoking and respiratory health: A quantitative review papers",Heydari G.,Lung India,SCOPUS_ID:85008932293,1,Journal article,0
"Chotbenjamaporn, P., V. Haruhansapong, P. Jumriangrit, S. Pitayarangsarit, N. Agarwal, and R. Garg, Tobacco use among Thai students: Results from the 2015 global youth tobacco survey. Indian Journal of Public Health, 2017. 61(Supplement): p. S40-s46.","Chotbenjamaporn, P et al. (2017)",10.4103/ijph.IJPH_234_17,NA,NA,Tobacco use among thai students: Results from the 2015 global youth tobacco survey,Chotbenjamaporn P.,Indian journal of public health,SCOPUS_ID:85056180423,1,Journal article,0
"Public Health Engand, E-cigarettes and heated tobacco products: an evidence review, 2018 https://www.gov.uk/government/publications/e-cigarettes-and-heated-tobacco-products-evidence-review",Public Health Engand (2018),NA,https://www.gov.uk/government/publications/e-cigarettes-and-heated-tobacco-products-evidence-review,NA,"E-cigarettes and heated tobacco products: an evidence review, 2018",Public Health Engand,NA,NA,1,Journal article,0
"Kelland K. GSK’s nicotine patches and gum feel the heat from e-cigarettes, 16 January 2015 (online). Reuters. http://uk.reuters.com/article/2015/01/16/gsk-ceo-ecigarettesidUKL6N0UU3TU20150116 [Accessed 15 August 2015].","Kelland, K (2015)",NA,http://uk.reuters.com/article/2015/01/16/gsk-ceo-ecigarettesidUKL6N0UU3TU20150116,NA,GSK’s nicotine patches and gum feel the heat from e-cigarettes,Kelland K,NA,NA,1,Journal article,0
"McFiggans, G. and R. Harrison. Re: E-cigarette vapour could damage health of non-smokers. 2014 5 Jun 2015]; Available from: http://www.bmj.com/content/349/bmj.g6882/rr/780389.","McFiggans, G and Harrison, R (2014)",NA,http://www.bmj.com/content/349/bmj.g6882/rr/780389.,NA,E-cigarette vapour could damage health of non-smokers,"McFiggans, G. and R. Harrison",NA,NA,1,Journal article,0
"Avdalovic MV, Murin S. Electronic cigarettes: no such thing as a free lunch...Or puff. Chest 2012 Jun;141 (6):1371-2 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/22670013.","Avdalovic, MV and Murin, S (2012)",NA,http://www.ncbi.nlm.nih.gov/pubmed/22670013.,NA,Electronic cigarettes: no such thing as a free lunch...Or puff,"Avdalovic MV, Murin S",NA,NA,1,Journal article,0
Chaloupka FJ. Tobacco Control Policy and Electronic Cigarettes. JAMA Pediatr 2014 Mar 6 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/24603982.,"Chaloupka, FJ (2014)",NA,http://www.ncbi.nlm.nih.gov/pubmed/24603982.,NA,obacco Control Policy and Electronic Cigarettes,Chaloupka FJ.,NA,NA,1,Journal article,0
Scollo M. Recreational nicotine: uncertain benefits and several major risks [commment]. Tob Control 2000 Jun;9(2):240-1 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/10841864.,"Scollo, M (2000)",NA,http://www.ncbi.nlm.nih.gov/pubmed/10841864.,NA,Recreational nicotine: uncertain benefits and several major risks,Scollo M,NA,NA,1,Journal article,0
The Lancet Oncology. Time for e-cigarette regulation. Lancet Oncol 2013 Oct;14 (11):1027 Abstract available at http://www.ncbi.nlm.nih.gov/pubmed/24079859.,The Lancet Oncology (2013),NA,http://www.ncbi.nlm.nih.gov/pubmed/24079859,NA,Time for e-cigarette regulation,The Lancet Oncology,NA,NA,1,Journal article,0
"Giovenco DP, Lewis MJ, Delnevo CD. Factors associated with e-cigarette use. American Journal of Preventive Medicine. Published online, 27 May 2014.","Giovenco, DP et al. (2014)",NA,AmericanJournalofPreventiveMedicine,NA,actors associated with e-cigarette use,"Giovenco DP, Lewis MJ, Delnevo CD",NA,NA,1,Journal article,0
"Fernandez, E., et al , Institut Català d’Oncologia, Exposure to Aerosols from Smoking-proxy Electronic Inhaling Systems: a Systematic Review, unpublished report, (2016) Fernandez","Fernandez, E et al. (2016)",NA,unpublishedreport,NA,Exposure to Aerosols from Smoking-proxy Electronic Inhaling Systems: a Systematic Review,"Fernandez, E., et al",NA,NA,1,Journal article,0
"El Dib, R., et al, Electronic nicotine delivery systems and/or electronic non-nicotine delivery systems for tobacco smoking cessation or reduction: A systematic review and meta-analysis, unpublished report (2016)","El Dib, R et al. (2016)",NA,unpublishedreport,NA,Electronic nicotine delivery systems and/or electronic non-nicotine delivery systems for tobacco smoking cessation or reduction: A systematic review and meta-analysis,"El Dib, R., et al",NA,NA,1,Journal article,0
"Yoong, et. Al., Prevalence of Smoking-proxy Electronic Inhaling Systems (SEIS) use and its association with tobacco initiation in youth, unpublished report (2016)","Yoong, S et al. (2016)",NA,unpublishedreport,NA,Prevalence of Smoking-proxy Electronic Inhaling Systems (SEIS) use and its association with tobacco initiation in youth,"Yoong, S et al",NA,NA,1,Journal article,0
"Saint DM, Vanillin-triggered migraine. Food and Chemical Toxicology. 1997;35(5):527-528.","Saint, DM (1997)",NA,FoodandChemicalToxicology.1997;35(5):527-528.,NA,Vanillin-triggered migraine,Saint DM,NA,NA,1,Journal article,0
"Combes RD, Balls M. On the safety of e-cigarettes: 'I can resist anything except temptation'. Alternatives to Laboratory Animals.  2015;43(6):417-425.015;43(6):417-425.","Combes, RD and Balls, M (2015)",NA,2015;43(6):417-425.015;43(6):417-425.,NA,'I can resist anything except temptation'. Alternatives to Laboratory Animals,"Combes RD, Balls M. On the safety of e-cigarettes",NA,NA,1,Journal article,0
"Bertholon J, Becquemin M, Roy M, Roy F, Ledur D, Annesi Maesano I et al. Comparaison de l’aérosol de la cigarette électronique à celui des cigarettes ordinaires et de la chicha. Revue des Maladies Respiratoires. 2013;30(9):752-757.","Bertholon, J et al. (2013)",NA,RevuedesMaladiesRespiratoires.2013;30(9):752-757.,NA,Comparaison de l’aérosol de la cigarette électronique à celui des cigarettes ordinaires et de la chicha,"Bertholon J, Becquemin M, Roy M, Roy F, Ledur D, Annesi Maesano I et al",NA,NA,1,Journal article,0
"Ruprecht AA, De Marco C, Pozzi P, Munarini E, Mazza R, Angellotti G, et al. Comparison between particulate matter and ultrafine particle emission by electronic and normal cigarettes in real-life conditions. Tumori. 2014;100:24–7.","Ruprecht, AA (2014)",NA,umori.2014;100:24–7.,NA,Comparison between particulate matter and ultrafine particle emission by electronic and normal cigarettes in real-life conditions,"Ruprecht AA, De Marco C, Pozzi P, Munarini E, Mazza R, Angellotti G, et al",NA,NA,1,Journal article,0
GRADE Working Group. Grading quality of evidence and strength of recommendations. BMJ. 2004;328(7454):1490-0. 61,GRADE Working Group (2004),NA,BMJ.2004;328(7454):1490-0.61,NA,Grading quality of evidence and strength of recommendations,GRADE Working Group,NA,NA,1,Journal article,0
"Cantrell J, Emelle B, Ganz O, Hair E, Vallone D. Rapid increase in e-cigarette advertising spending as Altria's MarkTen enters the marketplace. Tobacco Control. 2015;25(e1):e16-e18.","Cantrell, J et al. (2015)",NA,TobaccoControl.2015;25(e1):e16-e18.,NA,Rapid increase in e-cigarette advertising spending as Altria's MarkTen enters the marketplace,"Cantrell J, Emelle B, Ganz O, Hair E, Vallone D",NA,NA,1,Journal article,0
"Ramamurthi D, Fadadu R, Jackler R. Electronic cigarette marketers manipulate antitobacco advertisements to promote vaping. Tobacco Control. 2015;:tobaccocontrol-2015-052661.","Ramamurthi, D et al. (2015)",NA,TobaccoControl.2015;:tobaccocontrol-2015-052661.,NA,lectronic cigarette marketers manipulate antitobacco advertisements to promote vaping,"Ramamurthi D, Fadadu R, Jackler R",NA,NA,1,Journal article,0
"Jarvis, M.J. and J. Wardle, Social patterning of individual health behaviours: the case of cigarette smoking. Social determinants of health, 1999. 2: p. 224-37.","Jarvis, MJ and  Wardle, J (1999)",NA,"Socialdeterminantsofhealth,1999.2:p.224-37.",NA,ocial patterning of individual health behaviours: the case of cigarette smoking,"Jarvis, M.J. and J. Wardle,",NA,NA,1,Journal article,0
"Beard, E., et al., How are the English Stop Smoking Services responding to growth in use of electronic cigarettes? Patient education and counseling, 2014. 94(2): p. 276-281.","Beard, E et al. (2014)",NA,"Patienteducationandcounseling,2014.94(2):p.276-281.",NA,How are the English Stop Smoking Services responding to growth in use of electronic cigarettes? Patient education and counseling,"Beard, E., et al",NA,NA,1,Journal article,0
"Hummel, K., et al., Prevalence and reasons for use of electronic cigarettes among smokers: Findings from the International Tobacco Control (ITC) Netherlands Survey. Int J Drug Policy, 2014.","Hummel, K et al. (2014)",NA,"IntJDrugPolicy,2014.",NA,revalence and reasons for use of electronic cigarettes among smokers: Findings from the International Tobacco Control (ITC) Netherlands Survey,"Hummel, K., et al.",NA,NA,1,Journal article,0
"Agaku, I.T., et al., Poly-tobacco use among adults in 44 countries during 2008-2012: evidence for an integrative and comprehensive approach in tobacco control. Drug Alcohol Depend, 2014. 139: p. 60-70.","Agaku, IT et al. (2014)",NA,"DrugAlcoholDepend,2014.139:p.60-70.",NA,oly-tobacco use among adults in 44 countries during 2008-2012: evidence for an integrative and comprehensive approach in tobacco control.,"Agaku, I.T., et al",NA,NA,1,Journal article,0
