Reference,nrefs,Full Reference
"Buchet, JP et al. (1992)",1,"Buchet JP, Gennart JP, Mercado-Calderon F, Delavignette JP, Cupers L, Laurwerys R. Evaluation of exposure to polycyclic aromatic hydrocarbons in a coke production and a graphite electrode manufacturing plant: assessment of urinary excretion of 1-hydroxypyrene as a biological indicator of exposure. Br J Ind Med. 1992;49(11):761-8."
US Environmental Protection Agency (2009),1,US Environmental Protection Agency. Acrolein: Hazard summary factsheet www.epa.gov1992 [updated 2009]. Available from: https://www.epa.gov/sites/production/files/2016-08/documents/acrolein.pdf.
International Agency for Research on Cancer (2017),1,International Agency for Research on Cancer. IARC monographs on the evaluation of carcinogenic risks to humans www.monographs.iarc.fr 2017. Available from: http://monographs.iarc.fr/ENG/Classification/index.php.
"Carmella, S et al. (2009)",1,"Carmella S, Chen M, Han S, Briggs A, Jensen J, Hatsukami DK, et al. Effects of smoking cessation on eight urinary tobacco carcinogen and toxicant biomarkers. Chem Res Toxicol. 2009;22(4):734-41."
"Lee, FY et al. (2015)",1,"Lee FY, Chen WK, Lin CL, Kao CH. Carbon monoxide poisoning and subsequent cardiovascular disease risk: a nationwide population-based cohort study. Medicine. 2015;94(10):e624."
"Sandberg, A et al. (2011)",1,"Sandberg A, Skold CM, Grunewald J, Eklund A, Wheelock AM. Assessing recent smoking status by measuring exhaled carbon monoxide levels. PLoS One. 2011;6(12):e28864"
"Husari, A et al. (2016)",1,"Husari A, Shihadeh A, Talih S, Hashem Y, El Sabban M, Zaatari G. Acute exposure to electronic and combustible cigarette aerosols: effects in an animal model and in human alveolar cells. . Nicotine Tob Res. 2016;18(5):613-9."
"Pacek, LR et al. (2017)",1,"Pacek LR, Joseph McClernon F, Denlinger-Apte RL, Mercincavage M, Strasser AA, Dermody SS, et al. Perceived nicotine content of reduced nicotine content cigarettes is a correlate of perceived health risks. Tob Control. 2017: doi: 10.1136/tobaccocontrol-2017-053689 [E pub ahead of print]."
"Borland, R et al. (2011)",1,"Borland R, Cooper J, McNeill A, O'Connor R, Cummings KM. Trends in beliefs about the harmfulness and use of stop-smoking medications and smokeless tobacco products among cigarettes smokers: Findings from the ITC four-country survey. Harm Reduct J. 2011;8:21."
"Czoli, CD et al. (2017)",1,"Czoli CD, Fong GT, Mays D, Hammond D. How do consumers perceive differences in risk across nicotine products? A review of relative risk perceptions across smokeless tobacco, e-cigarettes, nicotine replacement therapy and combustible cigarettes. Tob Control. 2017;26(E1):E49-E58."
"Huerta, TR et al. (2017)",1,"Huerta TR, Walker DM, Mullen D, Johnson TJ, Ford EW. Trends in e-cigarette awareness and perceived harmfulness in the U.S. Am J Prev Med. 2017;52(3):339-46."
"Bernat, JK et al. (2017)",1,"Bernat JK, Ferrer RA, Margolis KA, Blake KD. US adult tobacco users' absolute harm perceptions of traditional and alternative tobacco products, information-seeking behaviors, and (mis)beliefs about chemicals in tobacco products. Addict Behav. 2017;71:38-45."
"Majeed, BA et al. (2017)",1,"Majeed BA, Weaver SR, Gregory KR, Whitney CF, Slovic P, Pechacek TF, et al. Changing perceptions of harm of e-cigarettes among U.S. adults, 2012-2015. Am J Prev Med. 2017;52(3):331-8."
"Donaldson, EA et al. (2017)",1,"Donaldson EA, Hoffman AC, Zandberg I, Blake KD. Media exposure and tobacco product addiction beliefs: Findings from the 2015 Health Information National Trends Survey (HINTS-FDA 2015). Addict Behav. 2017;72:106-13."
"McCubbin, A et al. (2017)",1,"McCubbin A, Fallin-Bennett A, Barnett J, Ashford K. Perceptions and use of electronic cigarettes in pregnancy. Health Educ Res. 2017;32(1):22-32."
"Nguyen, KH et al. (2015)",1,"Nguyen KH, Tong VT, Marynak KL, King BA. US adults' perceptions of the harmful effects during pegnancy of using electronic vapor products versus smoking cigarettes, styles survey, 2015. Prev Chronic Dis. 2016;13:E175."
"Persoskie, A et al. (2017)",1,"Persoskie A, O'Brien EK, Nguyen AB, Tworek C. Measuring youth beliefs about the harms of e-cigarettes and smokeless tobacco compared to cigarettes. Addict Behav. 2017;70:7-13."
"Amrock, SM et al. (2016)",1,"Amrock SM, Lee L, Weitzman M. Perceptions of e-cigarettes and noncigarette tobacco products among US youth. Pediatrics. 2016;138 (5):e20154306."
UK Government (2017),1,UK Government. Open consultation: Tax treatment of heated tobacco products. London; 2017.
"Sutherland, G et al. (1993)",1,"Sutherland G, Russell MA, Stapleton JA, Feyerabend C. Glycerol particle cigarettes: a less harmful option for chronic smokers. Thorax. 1993;48(4):385-7."
"Stapleton, JA et al. (1998)",1,"3Stapleton JA, Russell MA, Sutherland G, Feyerabend C. Nicotine availability from Eclipse tobacco-heating cigarette. Psychopharmacology (Berl). 1998;139(3):288-90."
Philip Morris International (2017),1,Philip Morris International. 2017 Second-quarter results 2017. Available from: http://phx.corporate-ir.net/External.File?item=UGFyZW50SUQ9Njc1NjE3fENoaWxkSUQ9MzgzNzY5fFR5cGU9MQ==&t=1.
US Food and Drug Administration (2017b),1,US Food and Drug Administration. Philip Morris Products S.A. Modified Risk Tobacco Product (MRTP) Applications https://www.fda.gov/: FDA; 2017. Available from: https://www.fda.gov/TobaccoProducts/Labeling/MarketingandAdvertising/ucm546281.htm.
World Health Organization (2009a),1,World Health Organization. Tobacco industry interference with tobacco control. Geneva WHO; 2009.
"Ludicke, F et al. (2016)",1,"Ludicke F, Haziza C, Weitkunat R, Magnette J. Evaluation of biomarkers of exposure in smokers switching to a carbon-heated tobacco product: A controlled, randomized, open-label 5-day exposure study. Nicotine Tob Res. 2016;18(7):1606-13."
"Ludicke, F et al. (2017)",1,"Ludicke F, Baker G, Magnette J, Picavet P, Weitkunat R. Reduced exposure to harmful and potentially harmful smoke constituents with the Tobacco Heating System 2.1. Nicotine Tob Res. 2017;19(2):168-75."
"Smith, MR et al. (2016)",1,"Smith MR, Clark B, Ludicke F, Schaller JP, Vanscheeuwijck P, Hoeng J, et al. Evaluation of the Tobacco Heating System 2.2. part 1: Description of the system and the scientific assessment program. Regul Toxicol Pharmacol. 2016;81:S17-S26."
"Haziza, C et al. (2016a)",1,"Haziza C, de La Bourdonnaye G, Merlet S, Benzimra M, Ancerewicz J, Donelli A, et al. Assessment of the reduction in levels of exposure to harmful and potentially harmful constituents in Japanese subjects using a novel tobacco heating system compared with conventional cigarettes and smoking abstinence: A randomized controlled study in confinement. Regul Toxicol Pharm. 2016;81:489-99."
"Haziza, C et al. (2016b)",1,"Haziza C, de La Bourdonnaye G, Skiada D, Ancerewicz J, Baker G, Picavet P, et al. Evaluation of the Tobacco Heating System 2.2. Part 8: 5-day randomized reduced exposure clinical study in Poland. Regul Toxicol Pharm. 2016;81:S139-S50."
Philip Morris International (2015),1,Philip Morris International. Heat-not-burn platform portfolio 2015. Available from: https://www.pmiscience.com/platform-development/platform-portfolio/heat-not-burn/platform-1
"Auer, R et al. (2017)",1,"Auer R, Concha-Lozano N, Jacot-Sadowski I, Cornuz J, Berthet A. Heat-not-burn tobacco cigarettes: Smoke by any other name. JAMA Intern Med. 2017;177(7):1050-2."
"Farsalinos, KE et al. (2017d)",1,"Farsalinos KE, Yannovits N, Sarri T, Voudris V, Poulas K. Nicotine delivery to the aerosol of a heat-not-burn tobacco product: comparison with a tobacco cigarette and e-cigarettes. Nicotine Tob Res. 2017;0(0):1-6."
"Mitova, MI et al. (2016)",1,"Mitova MI, Campelos PB, Goujon-Ginglinger CG, Maeder S, Mottier N, Rouget EGR, et al. Comparison of the impact of the Tobacco Heating System 2.2 and a cigarette on indoor air quality. Regul Toxicol Pharm. 2016;80:91-101."
"O'Connell, G et al. (2015b)",1,"O’Connell G, Wilkinson P, Burseg KMM, Stotesbury SJ, Pritchard JD. Heated tobacco products create side-stream emissions: Implications for regulation. J Environ Anal Chem. 2015;02(05):1000163."
"Protano, C et al. (2016)",1,"Protano C, Manigrasso M, Avino P, Sernia S, Vitali M. Second-hand smoke exposure generated by new electronic devices (IQOS® and e-cigs) and traditional cigarettes: Submicron particle behaviour in human respiratory system. Ann Ig. 2016;28(2):109-12."
"Ruprecht, AA et al. (2017)",1,"Ruprecht AA, De Marco C, Saffari A, Pozzi P, Mazza R, Veronese C, et al. Environmental pollution and emission factors of electronic cigarettes, heat-not-burn tobacco products, and conventional cigarettes. Aerosol Sci Tech. 2017;51(6):674-84."
"Schaller, JP et al. (2016a)",1,"Schaller JP, Keller D, Poget L, Pratte P, Kaelin E, McHugh D, et al. Evaluation of the Tobacco Heating System 2.2. part 2: Chemical composition, genotoxicity, cytotoxicity, and physical properties of the aerosol. Regul Toxicol Pharm. 2016;81:S27-S47."
"Schaller, JP et al. (2016b)",1,"Schaller JP, Pijnenburg JPM, Ajithkumar A, Tricker AR. Evaluation of the Tobacco Heating System 2.2. part 3: Influence of the tobacco blend on the formation of harmful and potentially harmful constituents of the Tobacco Heating System 2.2 aerosol. Regul Toxicol Pharm. 2016;81:S48-S58."
"Lopez, AA et al. (2016a)",1,"Lopez AA, Hiler M, Maloney S, Eissenberg T, Breland AB. Expanding clinical laboratory tobacco product evaluation methods to loose-leaf tobacco vaporizers. Drug Alcohol Depend. 2016;169:33-40."
"Picavet, P et al. (2016)",1,"Picavet P, Haziza C, Lama N, Weitkunat R, Ludicke F. Comparison of the pharmacokinetics of nicotine following single and ad libitum use of a tobacco heating system or combustible cigarettes. Nicotine Tob Res. 2016;18(5):557-63."
"Brossard, P et al. (2017)",1,"Brossard P, Weitkunat R, Poux V, Lama N, Haziza C, Picavet P, et al. Nicotine pharmacokinetic profiles of the Tobacco Heating System 2.2, cigarettes and nicotine gum in Japanese smokers. Regul Toxicol Pharmacol. 2017;89:193-9."
"Ludicke, F et al. (2017a)",1,"Ludicke F, Picavet P, Baker G, Haziza C, Poux V, Lama N, et al. Effects of switching to the menthol Tobacco Heating System 2.2, smoking abstinence, or continued cigarette smoking on clinically relevant risk markers: A randomized, controlled, open-label, multicenter study in sequential confinement and ambulatory settings (part 2). Nicotine Tob Res. 2017:ntx028."
"Ludicke, F et al. (2017b)",1,"Ludicke F, Picavet P, Baker G, Haziza C, Poux V, Lama N, et al. Effects of Switching to the Tobacco Heating System 2.2 Menthol, smoking abstinence, or continued cigarette smoking on biomarkers of exposure: A randomized, controlled, open-label, multicenter study in sequential confinement and ambulatory settings (part 1). Nicotine Tob Res. 2017:ntw287."
"Kamada, T et al. (2016)",1,"Kamada T, Yamashita Y, Tomioka H. Acute eosinophilic pneumonia following heat-not-burn cigarette smoking. Resp Case Rep. 2016;4(6):e00190."
"Tabuchi, K et al. (2017)",1,"Tabuchi K, Gallus S, Shinozaki T, Nakaya T, Kunugita N, Colwell B. Heat-not-burn tobacco product use in Japan: its prevalence, predictors, and perceived symptoms from exposure to secondhand heat-not-burn-tobacco aerosol. Tob Control. 2017: doi: 10.1136/tobaccocontrol-2017-053947 [E pub ahead of print]."
"Donny, EC et al. (2014)",1,"Donny EC, Hatsukami DK, Benowitz NL, Sved AF, Tidey JW, Cassidy RN. Reduced nicotine product standards for combustible tobacco: building an empirical basis for effective regulation. Prev Med. 2014;68:17-22."
"Laugesen, M (2012)",1,Laugesen M. Modelling a two-tier tobacco excise tax policy to reduce smoking by focusing on the addictive component (nicotine) more than the tobacco weight. N Z Med J. 2012;125(1367):35-48.
"Benowitz, NL and Henningfield, JE (2013a)",1,"348. Benowitz NL, Henningfield JE. Reducing the nicotine content to make cigarettes less addictive. Tob Control. 2013;22 Suppl 1:i14-i7."
US Department of Health and Human Services (2006),2,"U.S. Department of Health and Human Services. The health consequences of involuntary exposure to tobacco smoke: A report of the Surgeon General. Atlanta, GA: U.S. Department of Health and Human Services, Centers for Disease Control and Prevention, Coordinating Center for Health Promotion, National Center for Chronic Disease Prevention and Health Promotion, Office on Smoking and Health; 2006."
"Vu, AT et al. (2015)",1,"Vu AT, Taylor KM, Holman MR, Ding YS, Hearn B, Watson CH. Polycyclic aromatic hydrocarbons in the mainstream smoke of popular U.S. cigarettes. Chem Res Toxicol. 2015;28(8):1616-26."
"Hammond, D et al. (2007)",1,"Hammond D, Wiebel F, Kozlowski LT, Borland R, Cummings KM, O'Connor RJ, et al. Revising the machine smoking regime for cigarette emissions: implications for tobacco control policy. Tob Control. 2007;16(1):8-14."
"Peitsch, M (2017)",1,Peitsch M. PubMed commons: Commentary on “Heat-not-burn tobacco cigarettes: Smoke by any other name.” 2017 [updated 31st May]. Available from: https://www.ncbi.nlm.nih.gov/pubmed/28531246/#comments.
"Cappelleri, JC et al. (2007)",1,"Cappelleri JC, Bushmakin AG, Baker CL, Merikle E, Olufade AO, Gilbert DG. Confirmatory factor analyses and reliability of the modified cigarette evaluation questionnaire. Addict Behav. 2007;32(5):912-23."
Society For Research on Nicotine and Tobacco (2002),1,SRNT Subcommittee on Biochemical Verification. Biochemical verification of tobacco use and cessation. Nicotine Tob Res. 2002;4(2):149-59.
"Sedgwick, P (2015)",1,Sedgwick P. Intention to treat analysis versus per protocol analysis of trial data. BMJ Brit Med J. 2015;350:h681.
"Moher, D et al. (2012)",1,"Moher D, Hopewell S, Schulz KF, Montori V, Gotzsche PC, Devereaux PJ, et al. CONSORT 2010 explanation and elaboration: updated guidelines for reporting parallel group randomised trials. Int J Surg. 2012;10(1):28-55."
"Brose, LS et al. (2018)",1,"Brose LS, Simonavicius E, Cheeseman H. Awareness and use of ‘heat-not-burn’ tobacco products in Great Britain. Tob Regul Sci. In press."
"Caponnetto, P et al. (2013b)",1,"Caponnetto P, Auditore R, Russo C, Cappello GC, Polosa R. Impact of an electronic cigarette on smoking reduction and cessation in schizophrenic smokers: a prospective 12-month pilot study. Int J Env Res Pub He. 2013;10(2):446-61."
"Dawkins, L et al. (2012)",1,"Dawkins L, Turner J, Hasna S, Soar K. The electronic-cigarette: effects on desire to smoke, withdrawal symptoms and cognition. Addict Behav. 2012;37(8):970-3."
"Dawkins, L et al. (2013a)",1,"Dawkins L, Turner J, Crowe E. Nicotine derived from the electronic cigarette improves time-based prospective memory in abstinent smokers. Psychopharmacology. 2013;227(3):377-84."
"Ely, J (2013)",1,Ely J. Evaluation of the use of electric cigarettes in a rural smoking cessation program 2013. Available from: www.digitalunc.coalliance.org/fedora/repository/cogru:4161.
"Hajek, P et al. (2015b)",1,"Hajek P, Corbin L, Ladmore D, Spearing E. Adding e-cigarettes to specialist stop-smoking treatment: City of London pilot project. J Addict Res Ther. 2015;6(244):2."
"Humair, JP and Tango, R (2014)",1,"Humair J-P, Tango R. Can e-cigarette help patients to reduce or stop smoking in primary care practice? J Gen Intern Med. 2014;29:S480-S."
"Pacifici, R et al. (2015)",1,"Pacifici R, Pichini S, Graziano S, Pellegrini M, Massaro G, Beatrice F. Successful nicotine intake in medical assisted use of e-cigarettes: a pilot study. Int J Env Res Pub He. 2015;12(7):7638-46."
"Polosa, R et al. (2014c)",1,"Polosa R, Morjaria JB, Caponnetto P, Campagna D, Russo C, Alamo A, et al. Effectiveness and tolerability of electronic cigarette in real-life: a 24-month prospective observational study. Intern Emerg Med. 2014;9(5):537-46."
