Reference,doi,dir,title,journal,nrefs,type,conflicts
"Moyses, C et al. (2014a)",10.1093/ntr/ntu228,Documents/E-cigarette citation library.Data/PDF/1256908521/10.1093_ntr_ntu228-2015.pdf,Evaluation of a novel nicotine inhaler device: Part 1-arterial and venous pharmacokinetics,Nicotine and Tobacco Research,1,Journal article,"mentary Tables S1 and S2 and Figure S1 can be found online   at http   www ntr oxfordjournals org   Funding  This study was supported by Kind Consumer Limited  London  UK    Nicoventures Limited  London  UK provided development funding in return   for the license to the final product  Nicoventures is part of the British American   Tobacco Group but is separate from the tobacco businesses   Declaration of
 interests  CM and AH are employees of Kind Consumer Limited  AR has no conflicts   of interest to disclose   Acknowledgments  The authors thank Linda Brown  BSc  Hons   Caudex Medical  Oxford  UK     funded by Nicoventures Limited  for assistance with preparing the initial draft   of the manuscript  collating the comments of authors  and assembling tables   and figures  The au"
"Kutlu, MG and Gould, TJ (2015)",10.1016/j.bcp.2015.07.029,Documents/E-cigarette citation library.Data/PDF/3265179951/10.1016_j.bcp.2015.07.029-2015.pdf,Nicotine modulation of fear memories and anxiety: Implications for learning and anxiety disorders,Biochemical Pharmacology,1,Journal article,
"Barrington-Trimis, J et al. (2014)",10.1001/jama.2014.14830,Documents/E-cigarette citation library.Data/PDF/2739384723/10.1001_jama.2014.14830-2014.pdf,Flavorings in electronic cigarettes: An unrecognized respiratory health hazard?,JAMA - Journal of the American Medical Association,1,Journal article,ertainty   ARTICLE INFORMATION  Published Online  November 10  2014   doi 10 1001 jama 2014 14830   Conflict of Interest Disclosures  The authors have  completed and submitted the ICMJE Form for  Disclosure of Potential Conflicts of Interest and  none were reported   Funding Support  Research reported was  supported by grant P50CA180905 from the  National Cancer Institute and FDA Center for  Tobacco Produ
"van Assendelft, AH (1987)",10.1136/bmj.294.6571.576-d,Documents/E-cigarette citation library.Data/PDF/2256834489/10.1136_bmj.294.6571.576-d-1987.pdf,Adverse drug reactions checklist,British Medical Journal (Clinical research ed.),1,Journal article,ommendations for rechallenges are  questionable  They may even be in discordance  with the Helsinki Declaration  Careful ethical  consideration is necessary  Rechallenges should  not be a scientific necessity  Rechallenge is almost  the same as the deliberate harming of the patient   Should it be allowed at all except when there is no  therapeutic alternative   ALEXANDER HW VAN ASSENDELFT  Kotka Central
"Britton, J et al. (2016)",10.1136/bmj.i1745,Documents/E-cigarette citation library.Data/PDF/1510229751/10.1136_bmj.i1745-2016.pdf,Nicotine without smoke-putting electronic cigarettes in context: John britton and colleagues set out why a new royal college of physicians report supports the role of electronic cigarettes as part of a comprehensive tobacco control strategy,BMJ (Online),1,Journal article,"smokers  accessing stop smoking services 18 which is more likely to have  arisen from reductions in funding for antismoking media  campaigns and smoking cessation services  Observational data  indicate that of smokers who try to quit without accessing stop  smoking services  those who use e cigarettes are around 50   more likely to succeed than those who do not  or those who use  nicoting replacement the
trol research and  implementation   Competing interests  We have read and understood BMJ policy on  declaration of interests and have no relevant interests to declare   Provenance and peer review  Commissioned  not externally peer  reviewed   1 Action on Smoking and Health  Electronic cigarettes  2016  www ash org uk files   documents ASH_715 pdf   2 Britton J  Bogdanovica I  Electronic cigarettes  A re"
"Vargas Trassierra, C et al. (2015)",10.1016/j.atmosenv.2014.06.017,Documents/E-cigarette citation library.Data/PDF/0369051809/10.1016_j.atmosenv.2014.06.017-2015.pdf,On the interaction between radon progeny and particles generated by electronic and traditional cigarettes,Atmospheric Environment,1,Journal article,
"Barrington-Trimis, J et al. (2016)",10.1542/peds.2016-0379,Documents/E-cigarette citation library.Data/PDF/2459024762/10.1542_peds.2016-0379-2016.pdf,E-cigarettes and future cigarette use,Pediatrics,1,Journal article,es tested at   a  05 level of significance    Analyses were performed using   SAS 9 4   Role of the Funding Source  The funder had no role in the   design and conduct of the study    collection  management  analysis    or interpretation of the data  or   preparation  review  or approval of   the manuscript   RESULTS  E cigarette users and never users   were similar on matching factors    gender  ethnicit
"Kornfield, R et al. (2014)",10.1136/tobaccocontrol-2014-051580,Documents/E-cigarette citation library.Data/PDF/2271938077/10.1136_tobaccocontrol-2014-051580-2015.pdf,Rapidly increasing promotional expenditures for E-Cigarettes,Tobacco Control,1,Journal article,K  SLE  analysed the data  RK  JH  SLE  wrote the paper  RK   JH  LV  supervised the research  SLE  Funding This work was supported by the National Cancer Institute grant number  U01CA154254 and by the National Institutes of Health grant number  P50 CA 179546 01  The funding bodies did not play any role in study design  in the  collection  analysis and interpretation of data  in the writing of the report
"Ganz, O et al. (2014)",10.1136/tobaccocontrol-2013-051337,Documents/E-cigarette citation library.Data/PDF/0127431744/10.1136_tobaccocontrol-2013-051337-2015.pdf,Electronic cigarette advertising at the point-of-sale: A gap in tobacco control research,Tobacco Control,1,Journal article,
"Liber, A et al. (2015)",10.1136/tobaccocontrol-2015-052874,Documents/E-cigarette citation library.Data/PDF/3114718965/10.1136_tobaccocontrol-2015-052874-2017.pdf,Combustible cigarettes cost less to use than e-cigarettes: Global evidence and tax policy implications,Tobacco Control,1,Journal article,alysis  contributed to the data interpretation and edited the manuscript   Competing interests None declared   Disclaimer The views expressed here are those of the authors and do not  necessarily represent the American Cancer Society or the American Cancer  Society â   Cancer Action Network   Provenance and peer review Not commissioned  externally peer reviewed   Data sharing statement Owing to the cont
"Ford, A et al. (2015)",10.1007/s00038-015-0769-5,Documents/E-cigarette citation library.Data/PDF/2774310029/10.1007_s00038-015-0769-5-2016.pdf,Adolescents’ responses to the promotion and flavouring of e-cigarettes,International Journal of Public Health,1,Journal article,"or her contribution to the  development and design of the YTPS   Compliance with ethical standards  Conflict of interest The authors declare that they have no conflict  of interest   Ethics approval The study obtained ethics approval from the ethics  committee of the Stirling Management School at the University of  Stirling  Participant and parental informed consent was obtained prior  to survey administr
ation   Funding This work was supported by a Grant from Cancer  Research UK  C312 A15192    Open Access This article is distributed under the terms of the  Creative Commons Attribution 4 0 International License  http     creativecommons org licenses by 4 0    which permits unrestricted  use  distribution  and repr"
"Vasiljevic, M et al. (2015)",10.1136/tobaccocontrol-2015-052593,Documents/E-cigarette citation library.Data/PDF/1985338828/10.1136_tobaccocontrol-2015-052593-2016.pdf,Impact of advertisements promoting candy-like flavoured e-cigarettes on appeal of tobacco smoking among children: An experimental study,Tobacco Control,1,Journal article,timate decision to submit for publication was determined by the  authors   Competing interests None declared   Patient consent Obtained   Ethics approval The experiment was conducted in accordance with APA standards  for the ethical treatment of human participants  and gained the prior approval by  the Psychology Research Ethics Committee of the University of Cambridge  reference  number  Pre 2014 101  
"Chapman, S (2014a)",10.1136/bmj.g5512,Documents/E-cigarette citation library.Data/PDF/3836453524/10.1136_bmj.g5512-2014.pdf,E-cigarettes: The best and the worst case scenarios for public health - An essay by Simon Chapman,BMJ (Online),1,Journal article,is to be commended for its caution   Competing interests  I have read and understood BMJ policy on  declaration of interests and have no relevant interests to declare   Provenance and peer review  Commissioned  not externally peer  reviewed   1 World Health Organization Conference of the Parties to theWHO Framework Convention  on Tobacco Control  Electronic nicotine delivery systems  Sixth Session  Mosc
"Wise, J (2014)",10.1136/bmj.g7508,Documents/E-cigarette citation library.Data/PDF/0954234598/10.1136_bmj.g7508-2014.pdf,"Children are three times as likely to try e-cigarettes as tobacco products, study finds",BMJ (Clinical research ed.),1,Journal article,
"Adkison, SE et al.(2013)",10.1016/j.amepre.2012.10.018,Documents/E-cigarette citation library.Data/PDF/0455751003/10.1016_j.amepre.2012.10.018-2013.pdf,Electronic nicotine delivery systems: International Tobacco Control Four-Country Survey,American Journal of Preventive Medicine,1,Journal article,
"Curry, L et al. (2014)",10.1136/tobaccocontrol-2013-051535,Documents/E-cigarette citation library.Data/PDF/3384516599/10.1136_tobaccocontrol-2013-051535-2014.pdf,E-cigarettes made especially for inmates,Tobacco Control,1,Journal article,
"Berg, CJ et al. (2015a)",10.1093/ntr/ntu103,Documents/E-cigarette citation library.Data/PDF/0793593115/10.1093_ntr_ntu103-20151.pdf,"Cigarette users' interest in using or switching to electronic nicotine delivery systems for smokeless tobacco for harm reduction, cessation, or novelty: A cross-sectional survey of US adults",Nicotine and Tobacco Research,1,Journal article,"egarding how to   communicate with smokers about resources and alternatives to aid   in cessation   Funding  This work was supported by the Centers for Disease Control and Prevention    3 U48 DP001909 04S1 to Principal Investigator  PI   CJB   the National   Cancer Institute  U01CA154282 01 to PI  MK  1K07CA139114 01A1 to PI    CJB   and the Georgia Cancer Coalition  PI  CJB   The funders had no role in 
  the analyses or interpretation of the study or its results   Declaration of Interests  None declared   Acknowledgments  We would like to thank GMI for preparing and administering this assessment   References  Biener  L     Abrams  D  B   1991   The contemplation ladder  Validation of   a measure of readiness to consider smoking cessation  Health Psychology    10  360â  365  doi 10 1037 0278 6133"
